      133.446      247.738      409.165      625.733      905.641      1256.18
      1682.56      2187.21      2769.31      3423.54      4137.00      4884.74
      5625.90      6303.53      6850.22      7199.47      7299.69      7125.92
      6684.96      6012.01      5160.37      4188.23      3147.20      2075.77
      998.523     -70.0761     -1119.80     -2138.68     -3108.48     -4002.41
     -4785.55     -5418.32     -5862.59     -6089.47     -6086.55     -5862.18
     -5445.14     -4879.29     -4215.21     -3501.28     -2777.41     -2072.55
     -1405.91     -790.024     -233.723      256.354      675.686      1022.40
      1297.41      1503.68      1645.11      1725.72      1749.67      1722.05
      1649.58      1540.66      1404.45      1249.50      1082.77      909.574
      734.363      561.645      396.282      242.920      104.973     -16.0341
     -120.237     -208.425     -280.977     -337.492     -377.346     -400.719
     -409.228     -405.660     -392.909     -372.918     -346.366     -313.342
     -274.444     -231.457     -187.047     -143.691     -102.647     -63.7533
     -26.2347      10.1156      44.2705      74.3481      98.7465      117.157
      130.663      140.828      148.474      153.081      153.293      148.137
      138.006      124.634      110.059      95.3631      80.1733      63.3125
      44.1043      23.3050      2.91283     -15.0264     -29.7032     -41.9124
     -53.1950     -64.4068     -74.8375     -82.6050     -86.0596     -85.1198
     -81.4642     -77.3574     -73.9607     -70.4386     -64.6368     -54.9326
     -41.9142     -28.5443     -18.4522     -13.2808     -10.6717     -4.04889
      15.8375      58.7355
